Name,Version,License,Source
aws-sigv4,1.0.0,Apache-2.0,http://github.com/aws/aws-sdk-ruby
axiom-types,0.1.1,MIT,https://github.com/dkubb/axiom-types
basic-stats,0.0.2,MIT,http://github.com/cpetersen/basic-stats
bcrypt,3.1.11,MIT,https://github.com/codahale/bcrypt-ruby
better_errors,2.1.1,MIT,https://github.com/charliesome/better_errors
binding_of_caller,0.7.2,MIT,http://github.com/banister/binding_of_caller
bootstrap-sass,3.3.6,MIT,https://github.com/twbs/bootstrap-sass
bootstrap3-datetimepicker-rails,4.17.37,MIT,http://github.com/TrevorS/bootstrap3-datetimepicker-rails
browser,2.3.0,MIT,http://github.com/fnando/browser
browser-timezone-rails,0.0.8,MIT,https://github.com/kbaum/browser-timezone-rails
builder,3.0.4,MIT,http://onestepback.org
builder,3.2.3,MIT,http://onestepback.org
builder,3.2.2,MIT,http://onestepback.org
bullet,4.14.10,MIT,http://github.com/flyerhzm/bullet
bullet,5.5.1,MIT,http://github.com/flyerhzm/bullet
bundler,1.15.3,MIT,http://bundler.io
bundler,1.14.6,MIT,http://bundler.io
bundler,1.13.6,MIT,http://bundler.io
bundler-unload,1.0.2,Apache 2.0,https://github.com/mpapis/bundler-unload
byebug,9.0.6,BSD-2-Clause,http://github.com/deivid-rodriguez/byebug
byebug,8.2.4,BSD,http://github.com/deivid-rodriguez/byebug
byebug,9.0.4,BSD,http://github.com/deivid-rodriguez/byebug
capybara,2.13.0,MIT,https://github.com/teamcapybara/capybara
capybara,2.7.1,MIT,https://github.com/jnicklas/capybara
capybara,2.4.4,MIT,http://github.com/jnicklas/capybara
capybara-user_agent,0.0.3,MIT,https://github.com/mururu/capybara-user_agent
capybara-webkit,1.14.0,MIT,http://github.com/thoughtbot/capybara-webkit
capybara-webkit,1.11.1,MIT,http://github.com/thoughtbot/capybara-webkit
capybara-webkit,1.3.1,MIT,http://github.com/thoughtbot/capybara-webkit
celluloid,0.17.3,MIT,https://github.com/celluloid/celluloid
celluloid-essentials,0.20.5,MIT,https://github.com/celluloid/celluloid-essentials
celluloid-extras,0.20.5,MIT,https://github.com/celluloid/celluloid-extras
celluloid-fsm,0.20.5,MIT,https://github.com/celluloid/celluloid-fsm
celluloid-io,0.17.3,MIT,http://github.com/celluloid/celluloid-io
celluloid-pool,0.20.5,MIT,http://github.com/celluloid/celluloid-pool
celluloid-supervision,0.20.6,MIT,https://github.com/celluloid/
celluloid-supervision,0.20.5,MIT,https://github.com/celluloid/
childprocess,0.6.3,MIT,http://github.com/enkessler/childprocess
chunky_png,1.3.8,MIT,http://wiki.github.com/wvanbergen/chunky_png
climate_control,0.1.0,MIT,https://github.com/thoughtbot/climate_control
climate_control,0.0.3,MIT,https://github.com/thoughtbot/climate_control
climate_control,0.2.0,MIT,https://github.com/thoughtbot/climate_control
cocaine,0.5.8,MIT,https://github.com/thoughtbot/cocaine
cocoon,1.2.9,MIT,http://github.com/nathanvda/cocoon
coderay,1.1.1,MIT,http://coderay.rubychan.de
coercible,1.0.0,MIT,https://github.com/solnic/coercible
coffee-rails,4.1.1,MIT,https://github.com/rails/coffee-rails
coffee-script,2.4.1,MIT,http://github.com/josh/ruby-coffee-script
coffee-script-source,1.10.0,MIT,http://jashkenas.github.com/coffee-script/
commonjs,0.2.7,MIT,http://github.com/cowboyd/commonjs.rb
compass,0.12.7,MIT,https://github.com/Compass/compass
compass-rails,1.1.7,MIT,https://github.com/Compass/compass-rails
compass-rails,2.0.0,MIT,https://github.com/Compass/compass-rails
concurrent-ruby,1.0.5,MIT,http://www.concurrent-ruby.com
concurrent-ruby,1.0.1,MIT,http://www.concurrent-ruby.com
concurrent-ruby,1.0.2,MIT,http://www.concurrent-ruby.com
connection_pool,2.2.1,MIT,https://github.com/mperham/connection_pool
connection_pool,2.2.0,MIT,https://github.com/mperham/connection_pool
countries,1.2.5,MIT,http://github.com/hexorx/countries
countries,0.9.3,MIT,http://github.com/hexorx/countries
credit_card_bins,0.0.1,MIT,http://github.com/hugolantaume/credit_card_bins
currencies,0.4.2,MIT,http://github.com/hexorx/currencies
dalli,2.7.6,MIT,https://github.com/petergoldstein/dalli
database_cleaner,1.5.3,MIT,http://github.com/DatabaseCleaner/database_cleaner
database_cleaner,1.5.1,MIT,http://github.com/DatabaseCleaner/database_cleaner
database_cleaner,0.9.1,MIT,http://github.com/bmabey/database_cleaner
date_validator,0.7.1,MIT,http://github.com/codegram/date_validator
dates_from_string,1.0.0,MIT,
debug_inspector,0.0.2,MIT,https://github.com/banister/debug_inspector
descendants_tracker,0.0.4,MIT,https://github.com/dkubb/descendants_tracker
devise,3.5.10,MIT,https://github.com/plataformatec/devise
devise,4.0.0.rc1,MIT,https://github.com/plataformatec/devise
devise,4.2.1,MIT,https://github.com/plataformatec/devise
devise_invitable,1.6.1,MIT,https://github.com/scambra/devise_invitable
did_you_mean,1.0.0,MIT,https://github.com/yuki24/did_you_mean
did_you_mean,1.1.0,MIT,https://github.com/yuki24/did_you_mean
diff-lcs,1.3,MIT,
diff-lcs,1.2.5,MIT,
docile,1.1.5,MIT,https://ms-ati.github.io/docile/
domain_name,0.5.20160128,"BSD-2-Clause, LGPL-2.1",https://github.com/knu/ruby-domain_name
domain_name,0.5.20160615,"BSD-2-Clause, LGPL-2.1",https://github.com/knu/ruby-domain_name
domain_name,0.5.20170404,BSD-2-Clause,
ejs,1.1.1,MIT,https://github.com/sstephenson/ruby-ejs/
elasticsearch,1.1.2,Apache 2,http://github.com/elasticsearch/elasticsearch-ruby
elasticsearch,5.0.0,Apache 2,http://github.com/elasticsearch/elasticsearch-ruby
elasticsearch,5.0.4,Apache 2,http://github.com/elasticsearch/elasticsearch-ruby
elasticsearch-api,1.1.2,Apache 2,https://github.com/elasticsearch/elasticsearch-ruby/tree/master/elasticsearch-api
elasticsearch-api,5.0.0,Apache 2,https://github.com/elasticsearch/elasticsearch-ruby/tree/master/elasticsearch-api
elasticsearch-api,5.0.4,Apache 2,https://github.com/elasticsearch/elasticsearch-ruby/tree/master/elasticsearch-api
elasticsearch-model,2.0.0,Apache 2,https://github.com/elasticsearch/elasticsearch-rails/
elasticsearch-model,0.1.9,Apache 2,https://github.com/elasticsearch/elasticsearch-rails/
elasticsearch-rails,2.0.0,Apache 2,https://github.com/elasticsearch/elasticsearch-rails/
elasticsearch-rails,0.1.9,Apache 2,https://github.com/elasticsearch/elasticsearch-rails/
elasticsearch-transport,1.1.2,Apache 2,https://github.com/elasticsearch/elasticsearch-ruby/tree/master/elasticsearch-transport
elasticsearch-transport,5.0.0,Apache 2,https://github.com/elasticsearch/elasticsearch-ruby/tree/master/elasticsearch-transport
elasticsearch-transport,5.0.4,Apache 2,https://github.com/elasticsearch/elasticsearch-ruby/tree/master/elasticsearch-transport
email_spec,1.6.0,MIT,http://github.com/bmabey/email-spec/
email_spec,2.1.1,MIT,http://github.com/email-spec/email-spec/
equalizer,0.0.11,MIT,https://github.com/dkubb/equalizer
erubi,1.6.0,MIT,https://github.com/jeremyevans/erubi
erubis,2.7.0,MIT,http://www.kuwata-lab.com/erubis/
ethon,0.10.1,MIT,https://github.com/typhoeus/ethon
excon,0.55.0,MIT,https://github.com/excon/excon
excon,0.57.0,MIT,https://github.com/excon/excon
execjs,2.0.2,MIT,https://github.com/sstephenson/execjs
execjs,2.6.0,MIT,https://github.com/rails/execjs
execjs,2.7.0,MIT,https://github.com/rails/execjs
executable-hooks,1.3.2,Apache 2.0,https://github.com/mpapis/executable-hooks
expedia,0.0.7,MIT,https://github.com/zaidakram/expedia
factory_girl,4.2.0,MIT,https://github.com/thoughtbot/factory_girl
factory_girl,4.5.0,MIT,https://github.com/thoughtbot/factory_girl
factory_girl,4.7.0,MIT,https://github.com/thoughtbot/factory_girl
factory_girl,4.8.0,MIT,https://github.com/thoughtbot/factory_girl
factory_girl_rails,4.2.1,MIT,http://github.com/thoughtbot/factory_girl_rails
factory_girl_rails,4.6.0,MIT,http://github.com/thoughtbot/factory_girl_rails
factory_girl_rails,4.7.0,MIT,http://github.com/thoughtbot/factory_girl_rails
factory_girl_rails,4.8.0,MIT,http://github.com/thoughtbot/factory_girl_rails
faker,1.7.3,MIT,https://github.com/stympy/faker
faker,1.6.3,MIT,https://github.com/stympy/faker
faker,1.1.2,MIT,http://faker.rubyforge.org
fakeredis,0.5.0,MIT,https://guilleiguaran.github.com/fakeredis
faraday,0.9.2,MIT,https://github.com/lostisland/faraday
faraday,0.12.1,MIT,https://github.com/lostisland/faraday
faraday,0.12.0.1,MIT,https://github.com/lostisland/faraday
faraday_middleware,0.10.0,MIT,https://github.com/lostisland/faraday_middleware
faraday_middleware-aws-signers-v4,0.1.7,MIT,https://github.com/winebarrel/faraday_middleware-aws-signers-v4
faraday_middleware-aws-signers-v4,0.1.5,MIT,https://github.com/winebarrel/faraday_middleware-aws-signers-v4
fast_attributes,0.9.0,MIT,https://github.com/applift/fast_attributes
ffi,1.9.18,BSD-3-Clause,http://wiki.github.com/ffi/ffi
ffi,1.9.10,BSD,http://wiki.github.com/ffi/ffi
ffi,1.9.14,BSD-3-Clause,http://wiki.github.com/ffi/ffi
font-awesome-rails,4.6.1.0,MIT,
friendly_id,4.0.10.1,MIT,http://github.com/norman/friendly_id
friendly_id,5.2.1,MIT,https://github.com/norman/friendly_id
fssm,0.2.10,MIT,https://github.com/ttilley/fssm
ganalytics-experiments,1.1.2,MIT,
geocoder,1.4.0,MIT,http://www.rubygeocoder.com
geoip,1.4.0,LGPL,http://github.com/cjheath/geoip
get_process_mem,0.2.1,MIT,https://github.com/schneems/get_process_mem
gli,2.14.0,MIT,http://davetron5000.github.com/gli
globalid,0.4.0,MIT,http://www.rubyonrails.org
globalid,0.3.6,MIT,http://www.rubyonrails.org
globalid,0.3.7,MIT,http://www.rubyonrails.org
gon,5.0.4,MIT,https://github.com/gazay/gon
googl,0.7.1,MIT,http://github.com/zigotto/googl
google_places,0.32.0,MIT,https://github.com/marceldegraaf/google_places
gyoku,1.1.1,MIT,https://github.com/savonrb/gyoku
hashie,3.5.5,MIT,https://github.com/intridea/hashie
hashie,3.4.3,MIT,https://github.com/intridea/hashie
hashie,3.4.6,MIT,https://github.com/intridea/hashie
hashie,3.4.4,MIT,https://github.com/intridea/hashie
heroics,0.0.21,MIT,https://github.com/interagent/heroics
heroku-api,0.4.2,MIT,http://github.com/heroku/heroku.rb
heroku-api,0.3.23,MIT,http://github.com/heroku/heroku.rb
hetchy,1.0.0,MIT,https://github.com/nextmat/hetchy
hike,1.2.3,MIT,http://github.com/sstephenson/hike
